q
FIFO => MS=5706.0, Idle_avg=1175.10, Wait_avg=2667.27, T=0.168s
LIFO => MS=5607.0, Idle_avg=1222.60, Wait_avg=2820.31, T=0.159s
SRPT => MS=5780.0, Idle_avg=1239.80, Wait_avg=2655.25, T=0.178s
OPR => MS=5748.0, Idle_avg=1215.10, Wait_avg=2675.09, T=0.168s
ECT => MS=5653.0, Idle_avg=1233.60, Wait_avg=2640.33, T=0.170s
LLM => MS=5706.0, Idle_avg=1175.10, Wait_avg=2667.27, T=0.169s
Random => MS=5796.0, Idle_avg=1179.40, Wait_avg=2742.03, T=0.170s

=== Average per rule ===
SPT: MS=5261.00, Idle=1256.38, Wait=2454.58, T=0.154s
LPT: MS=6893.50, Idle=1257.54, Wait=3888.23, T=0.205s
FIFO: MS=5828.12, Idle=1262.78, Wait=2698.31, T=0.171s
LIFO: MS=5765.62, Idle=1218.41, Wait=3144.89, T=0.172s
SRPT: MS=5832.12, Idle=1265.01, Wait=2635.80, T=0.186s
OPR: MS=5820.50, Idle=1253.84, Wait=2640.85, T=0.171s
ECT: MS=5776.50, Idle=1285.94, Wait=2596.28, T=0.184s
LLM: MS=5828.12, Idle=1262.78, Wait=2698.31, T=0.172s
Random: MS=5709.00, Idle=1204.76, Wait=2892.46, T=0.171s
