
SRPT => MS=1734, T=0.021s
OPR => MS=1652, T=0.020s
ECT => MS=1734, T=0.020s
LLM => MS=1618, T=0.020s
Random => MS=1608, T=0.020s

=== Instanța: setb4c9_dynamic_1.txt (jobs=15, machines=11) ===
SPT => MS=2037, T=0.025s
LPT => MS=1858, T=0.027s
FIFO => MS=1705, T=0.030s
LIFO => MS=1705, T=0.023s
SRPT => MS=1990, T=0.027s
OPR => MS=2026, T=0.025s
ECT => MS=1990, T=0.024s
LLM => MS=1705, T=0.020s
Random => MS=1553, T=0.017s

=== Instanța: seti5x_dynamic_1.txt (jobs=15, machines=16) ===
SPT => MS=1962, T=0.034s
LPT => MS=2311, T=0.043s
FIFO => MS=2255, T=0.040s
LIFO => MS=2255, T=0.046s
SRPT => MS=2402, T=0.046s
OPR => MS=2255, T=0.042s
ECT => MS=2402, T=0.047s
LLM => MS=2255, T=0.045s
Random => MS=2195, T=0.044s

=== Instanța: seti5c12_dynamic_1.txt (jobs=15, machines=16) ===
SPT => MS=2514, T=0.050s
LPT => MS=2416, T=0.049s
FIFO => MS=2405, T=0.049s
LIFO => MS=2711, T=0.056s
SRPT => MS=2711, T=0.054s
OPR => MS=2673, T=0.052s
ECT => MS=2711, T=0.054s
LLM => MS=2405, T=0.048s
Random => MS=2688, T=0.056s

=== Instanța: seti5xx_dynamic_1.txt (jobs=15, machines=17) ===
SPT => MS=1930, T=0.035s
LPT => MS=2299, T=0.043s
FIFO => MS=2304, T=0.046s
LIFO => MS=2304, T=0.046s
SRPT => MS=2275, T=0.043s
OPR => MS=2299, T=0.045s
ECT => MS=2275, T=0.044s
LLM => MS=2304, T=0.047s
Random => MS=2515, T=0.047s

=== Average per rule ===
SPT: MS=1871.29, T=0.029s
LPT: MS=1946.14, T=0.032s
FIFO: MS=1907.10, T=0.031s
LIFO: MS=1958.95, T=0.032s
SRPT: MS=2000.29, T=0.032s
OPR: MS=2009.71, T=0.032s
ECT: MS=1997.62, T=0.032s
LLM: MS=1907.10, T=0.031s
Random: MS=1904.95, T=0.030s
